entity_id	state	friendly_name	device_class
automation.auto_brightness_turn_on	on	Remote: Enable Light Auto	-
automation.auto_light_brightness	on	Light Auto: Track ambient brightness	-
automation.disable_auto_brightness_lockout_at_06_00	on	Light Auto: Re-enable at 06:00	-
automation.leonardo_clean	on	Leonardo: Scheduled clean (Mon–Fri 14:00)	-
automation.leonardo_go_to_trash_when_bin_needs_emptying	on	Leonardo: Go to trash when maintenance is due	-
automation.leonardo_reset_area_on_mark_emptied	on	Leonardo: Reset bin counter on mark-emptied	-
automation.leonardo_vacuum_error_notification	on	Leonardo: Vacuum error notification	-
automation.office_manual_brightness_override_disable_auto	on	Light Auto: Disable on manual override	-
automation.turn_off_all_lights	on	Remote: All lights off	-
automation.turn_on_jellyfin_server_on_tv_start	on	Media: Wake servers on TV start	-
automation.update_someone_at_home_status	on	Update Someone at Home status	-
binary_sensor.helium_containers_bazarr_health	on	helium Containers bazarr Health	-
binary_sensor.helium_containers_bazarr_state	on	helium Containers bazarr State	running
binary_sensor.helium_containers_cleanuparr_health	on	helium Containers cleanuparr Health	-
binary_sensor.helium_containers_cleanuparr_state	on	helium Containers cleanuparr State	running
binary_sensor.helium_containers_docker2mqtt_health	unknown	helium Containers docker2mqtt Health	-
binary_sensor.helium_containers_docker2mqtt_state	on	helium Containers docker2mqtt State	running
binary_sensor.helium_containers_docker_socket_proxy_health	unknown	helium Containers docker-socket-proxy Health	-
binary_sensor.helium_containers_docker_socket_proxy_state	on	helium Containers docker-socket-proxy State	running
binary_sensor.helium_containers_flaresolverr_health	on	helium Containers flaresolverr Health	-
binary_sensor.helium_containers_flaresolverr_state	on	helium Containers flaresolverr State	running
binary_sensor.helium_containers_gluetun_health	on	helium Containers gluetun Health	-
binary_sensor.helium_containers_gluetun_state	on	helium Containers gluetun State	running
binary_sensor.helium_containers_homepage_health	on	helium Containers homepage Health	-
binary_sensor.helium_containers_homepage_state	on	helium Containers homepage State	running
binary_sensor.helium_containers_immich_machine_learning_health	on	helium Containers immich_machine_learning Health	-
binary_sensor.helium_containers_immich_machine_learning_state	on	helium Containers immich_machine_learning State	running
binary_sensor.helium_containers_immich_postgres_health	on	helium Containers immich_postgres Health	-
binary_sensor.helium_containers_immich_postgres_state	on	helium Containers immich_postgres State	running
binary_sensor.helium_containers_immich_redis_health	on	helium Containers immich_redis Health	-
binary_sensor.helium_containers_immich_redis_state	on	helium Containers immich_redis State	running
binary_sensor.helium_containers_immich_server_health	on	helium Containers immich_server Health	-
binary_sensor.helium_containers_immich_server_state	on	helium Containers immich_server State	running
binary_sensor.helium_containers_jellyfin_health	on	helium Containers jellyfin Health	-
binary_sensor.helium_containers_jellyfin_state	on	helium Containers jellyfin State	running
binary_sensor.helium_containers_jellyseerr_health	on	helium Containers jellyseerr Health	-
binary_sensor.helium_containers_jellyseerr_state	on	helium Containers jellyseerr State	running
binary_sensor.helium_containers_ollama_health	unknown	helium Containers ollama Health	-
binary_sensor.helium_containers_ollama_state	on	helium Containers ollama State	running
binary_sensor.helium_containers_paperless_gotenberg_health	unknown	helium Containers paperless_gotenberg Health	-
binary_sensor.helium_containers_paperless_gotenberg_state	on	helium Containers paperless_gotenberg State	running
binary_sensor.helium_containers_paperless_gpt_health	unknown	helium Containers paperless-gpt Health	-
binary_sensor.helium_containers_paperless_gpt_state	on	helium Containers paperless-gpt State	running
binary_sensor.helium_containers_paperless_health	on	helium Containers paperless Health	-
binary_sensor.helium_containers_paperless_postgres_health	on	helium Containers paperless_postgres Health	-
binary_sensor.helium_containers_paperless_postgres_state	on	helium Containers paperless_postgres State	running
binary_sensor.helium_containers_paperless_redis_health	on	helium Containers paperless_redis Health	-
binary_sensor.helium_containers_paperless_redis_state	on	helium Containers paperless_redis State	running
binary_sensor.helium_containers_paperless_state	on	helium Containers paperless State	running
binary_sensor.helium_containers_paperless_tika_health	unknown	helium Containers paperless_tika Health	-
binary_sensor.helium_containers_paperless_tika_state	on	helium Containers paperless_tika State	running
binary_sensor.helium_containers_profilarr_health	on	helium Containers profilarr Health	-
binary_sensor.helium_containers_profilarr_parser_health	on	helium Containers profilarr-parser Health	-
binary_sensor.helium_containers_profilarr_parser_state	on	helium Containers profilarr-parser State	running
binary_sensor.helium_containers_profilarr_state	on	helium Containers profilarr State	running
binary_sensor.helium_containers_protonmail_bridge_health	unknown	helium Containers protonmail-bridge Health	-
binary_sensor.helium_containers_protonmail_bridge_state	unknown	helium Containers protonmail-bridge State	running
binary_sensor.helium_containers_prowlarr_health	on	helium Containers prowlarr Health	-
binary_sensor.helium_containers_prowlarr_state	on	helium Containers prowlarr State	running
binary_sensor.helium_containers_qbittorrent_health	on	helium Containers qbittorrent Health	-
binary_sensor.helium_containers_qbittorrent_state	on	helium Containers qbittorrent State	running
binary_sensor.helium_containers_radarr_health	on	helium Containers radarr Health	-
binary_sensor.helium_containers_radarr_state	on	helium Containers radarr State	running
binary_sensor.helium_containers_sonarr_health	on	helium Containers sonarr Health	-
binary_sensor.helium_containers_sonarr_state	on	helium Containers sonarr State	running
binary_sensor.helium_containers_traefik_health	unknown	helium Containers traefik Health	-
binary_sensor.helium_containers_traefik_state	on	helium Containers traefik State	running
binary_sensor.helium_disk1_smart	off	helium disk1 SMART	problem
binary_sensor.helium_disk2_smart	off	helium disk2 SMART	problem
binary_sensor.helium_os_disk_smart	off	helium os disk SMART	problem
binary_sensor.helium_parity1_smart	off	helium parity1 SMART	problem
binary_sensor.helium_parity2_smart	off	helium parity2 SMART	problem
binary_sensor.helium_ssd1_smart	off	helium ssd1 SMART	problem
binary_sensor.helium_ssd2_smart	off	helium ssd2 SMART	problem
binary_sensor.helium_status	on	Helium Status	connectivity
binary_sensor.iphone_kiosk_mode	off	iPhone Kiosk Mode	-
binary_sensor.leonardo_charging	off	Leonardo Charging	battery_charging
binary_sensor.leonardo_cleaning	off	Leonardo Cleaning	running
binary_sensor.leonardo_dock_mop_drying	off	Leonardo Dock Mop drying	running
binary_sensor.leonardo_maintenance_due	on	Leonardo maintenance due	problem
binary_sensor.leonardo_mop_attached	off	Leonardo Mop attached	connectivity
binary_sensor.leonardo_needs_empty	off	Leonardo needs empty	problem
binary_sensor.leonardo_water_box_attached	on	Leonardo Water box attached	connectivity
binary_sensor.leonardo_water_shortage	off	Leonardo Water shortage	problem
binary_sensor.radarr_health	off	Radarr Health	problem
binary_sensor.remote_ui	on	Remote UI	connectivity
button.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_identify	unknown	light_bulb_03 Identify	identify
button.ikea_of_sweden_tradfri_bulb_e14_ws_470lm_identify_2	unknown	light_bulb_04 Identify	identify
button.ikea_of_sweden_tradfri_on_off_switch_identify	unavailable	IKEA of Sweden TRADFRI on/off switch Identify	identify
button.ikea_of_sweden_tradfribulbe27wsglobeopal1055lm_identify	unknown	light_boulb_02 Identify	identify
button.light_bulb_01_identify	unknown	light_bulb_01 Identify	identify
button.lumi_lumi_weather_identify	unknown	Fridge Identify	identify
button.on_off_switch_01_identify	unavailable	on_off_switch_01 Identify	identify
button.sonoff_snzb_02d_identify	unknown	temp_hum_01 Identify	identify
button.sonoff_snzb_02d_identify_2	unknown	SONOFF SNZB-02D Identify	identify
button.sonoff_snzb_02d_identify_3	unknown	SONOFF SNZB-02D Identify	identify
button.sonoff_snzb_02ld_identify	unknown	Balcony Identify	identify
button.test_favorite_current_song	unknown	Test Favorite current song	-
button.vardagsrum_cast_favorite_current_song	unknown	Vardagsrum Cast Favorite current song	-
button.vardagsrumtv_favorite_current_song	unknown	VardagsrumTV Favorite current song	-
button.wake_on_lan_20_17_42_85_0b_20	2026-05-19T13:22:24.946730+00:00	TV	-
button.wake_on_lan_70_8b_cd_a2_dd_2b	2026-07-30T05:39:20.557021+00:00	neon	-
button.wake_on_lan_80_e8_2c_22_05_96	2026-07-30T05:39:20.557152+00:00	litium	-
button.xiaomi_lumi_sen_ill_mgl01_identify	unknown	XIAOMI lumi.sen_ill.mgl01 Identify	identify
calendar.radarr	off	Radarr	-
conversation.home_assistant	2026-05-23T11:21:35.270436+00:00	Home Assistant	-
device_tracker.cph2581	home	CPH2581	-
device_tracker.iphone	home	iPhone	-
device_tracker.sm_x920	home	SM-X920	-
event.backup_automatic_backup	2026-07-30T03:38:44.176+00:00	Backup Automatic backup	-
image.leonardo_map_0	2026-07-30T13:51:13.970341+00:00	Leonardo Map 0	-
input_boolean.auto_brightness_on	on	Auto brightness on	-
input_boolean.leonardo_auto_bedroom	off	Leonardo auto bedroom	-
input_boolean.leonardo_auto_entrance	on	Leonardo auto entrance	-
input_boolean.leonardo_auto_hallway	on	Leonardo auto hallway	-
input_boolean.leonardo_auto_kitchen	on	Leonardo auto kitchen	-
